year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2011,27,6106,96,149,245,469671,0.020439839802755547,0.03172433469386017,1.3000589774544309,0.052164174496615714,Chocó,6351,0.961423397890096,0.015115729806329713,0.02346087230357424
2012,27,6233,112,165,277,480181,0.02332453803878121,0.03436204264641875,1.298052192818958,0.057686580685199954,Chocó,6510,0.9574500768049156,0.017204301075268817,0.02534562211981567
2013,27,6706,151,153,304,490310,0.030796842813730088,0.03120474801656095,1.3677061450918806,0.06200159083029104,Chocó,7010,0.9566333808844508,0.021540656205420828,0.021825962910128387
2014,27,7149,174,179,353,500091,0.034793667552505445,0.03579348558562342,1.429539823752077,0.07058715313812886,Chocó,7502,0.9529458810983737,0.023193814982671288,0.023860303918954946
2015,27,6699,231,190,421,509545,0.045334563188727195,0.037288168856528865,1.3147023324730887,0.08262273204525607,Chocó,7120,0.940870786516854,0.0324438202247191,0.026685393258426966
2016,27,5855,190,171,361,518731,0.03662784757417621,0.03296506281675859,1.1287160397200091,0.0695929103909348,Chocó,6216,0.9419240669240669,0.030566280566280565,0.02750965250965251
2017,27,6300,164,161,325,527700,0.031078264165245405,0.03050975933295433,1.1938601478112565,0.06158802349819974,Chocó,6625,0.9509433962264151,0.024754716981132074,0.02430188679245283
2008,41,20549,1915,284,2199,1043622,0.18349555682038132,0.027212918087200156,1.969007935823507,0.2107084749075815,Huila,22748,0.903332161069105,0.08418322489889221,0.012484614032002813
2009,41,19792,1673,239,1912,1050376,0.15927629724974676,0.022753756749963824,1.8842776301057906,0.1820300539997106,Huila,21704,0.9119056395134537,0.07708256542572797,0.011011795060818282
2010,41,18698,2008,200,2208,1057179,0.18993945207008464,0.018918272118534325,1.7686692603617742,0.20885772418861895,Huila,20906,0.8943843872572467,0.09604898115373577,0.009566631589017507
2011,41,20013,2577,186,2763,1063845,0.24223453604613454,0.01748374998237525,1.8811950989100856,0.25971828602850977,Huila,22776,0.8786880927291886,0.11314541622760801,0.008166491043203371
2012,41,20943,2411,224,2635,1070159,0.22529362459223348,0.020931469062073955,1.9569989132456018,0.24622509365430745,Huila,23578,0.8882432776316905,0.10225634065654424,0.009500381711765205
